offset_desc  formato             WxH        data_off    size
0x000C235C  TRUE_COLOR_CHROMA    50x50    0x000C2368  5000
0x000C36F0  TRUE_COLOR_CHROMA    50x50    0x000C36FC  5000
0x000C4A84  TRUE_COLOR_CHROMA    50x50    0x000C4A90  5000
0x000C5E18  TRUE_COLOR_CHROMA    50x50    0x000C5E24  5000
0x000C71AC  TRUE_COLOR_CHROMA    16x16    0x000C71B8  512
0x000C73B8  INDEXED_8           128x160   0x000C73C4  21504
0x000CC7C4  INDEXED_8           128x35    0x000CC7D0  5504
0x000CDD50  INDEXED_8           128x160   0x000CDD5C  21504
